timestamp,price,volume,side,symbol
2026-06-01 08:30:00.000,99.5,20,BUY,NQ
2026-06-01 08:30:00.001,99.75,45,SELL,NQ
2026-06-01 08:30:00.002,100.0,80,BUY,NQ
2026-06-01 08:30:00.003,100.25,120,SELL,NQ
2026-06-01 08:30:00.004,100.5,150,BUY,NQ
2026-06-01 08:30:00.005,100.75,120,SELL,NQ
2026-06-01 08:30:00.006,101.0,80,BUY,NQ
2026-06-01 08:30:00.007,101.25,45,SELL,NQ
2026-06-01 08:30:00.008,101.5,20,BUY,NQ
2026-06-01 09:30:00.000,100.0,90,BUY,NQ
2026-06-01 09:30:00.001,100.25,80,SELL,NQ
2026-06-01 09:30:00.002,100.5,10,BUY,NQ
2026-06-01 09:30:00.003,100.75,90,SELL,NQ
2026-06-01 09:30:00.004,101.0,110,BUY,NQ
2026-06-02 08:30:00.000,99.5,20,BUY,NQ
2026-06-02 08:30:00.001,99.75,45,SELL,NQ
2026-06-02 08:30:00.002,100.0,80,BUY,NQ
2026-06-02 08:30:00.003,100.25,120,SELL,NQ
2026-06-02 08:30:00.004,100.5,150,BUY,NQ
2026-06-02 08:30:00.005,100.75,120,SELL,NQ
2026-06-02 08:30:00.006,101.0,80,BUY,NQ
2026-06-02 08:30:00.007,101.25,45,SELL,NQ
2026-06-02 08:30:00.008,101.5,20,BUY,NQ
2026-06-02 09:30:00.000,100.0,90,BUY,NQ
2026-06-02 09:30:00.001,100.25,80,SELL,NQ
2026-06-02 09:30:00.002,100.5,10,BUY,NQ
2026-06-02 09:30:00.003,100.75,90,SELL,NQ
2026-06-02 09:30:00.004,101.0,110,BUY,NQ
2026-06-01 09:31:01,101.5,5,BUY,NQ
2026-06-01 09:31:02,101.0,5,BUY,NQ
2026-06-01 09:31:03,100.75,5,BUY,NQ
2026-06-01 09:31:04,100.5,5,BUY,NQ
2026-06-01 09:31:05,101.0,5,BUY,NQ
2026-06-01 09:31:06,105.5,5,BUY,NQ
2026-06-01 09:32:00.000,102.25,100,BUY,NQ
2026-06-01 09:32:00.001,102.5,1,SELL,NQ
2026-06-01 09:32:00.002,102.75,100,BUY,NQ
2026-06-02 09:31:00,102.0,5,SELL,NQ
2026-06-02 09:33:00,102.5,5,SELL,NQ
2026-06-02 09:35:00,103.0,5,SELL,NQ
2026-06-02 09:39:00,102.25,5,SELL,NQ
