CaseID,label,coder,ordinal
HB072,A,CODEX_AMD2,1
HB071,B,CODEX_AMD2,2
HB062,C,CODEX_AMD2,3
HB007,A,CODEX_AMD2,4
HB014,C,CODEX_AMD2,5
HB001,A,CODEX_AMD2,6
HB030,B,CODEX_AMD2,7
HB038,A,CODEX_AMD2,8
HB024,B,CODEX_AMD2,9
HB081,C,CODEX_AMD2,10
HB047,B,CODEX_AMD2,11
HB082,C,CODEX_AMD2,12
HB075,C,CODEX_AMD2,13
HB097,C,CODEX_AMD2,14
HB083,C,CODEX_AMD2,15
HB013,B,CODEX_AMD2,16
HB025,A,CODEX_AMD2,17
HB043,A,CODEX_AMD2,18
HB004,B,CODEX_AMD2,19
HB098,C,CODEX_AMD2,20
HB044,C,CODEX_AMD2,21
HB092,C,CODEX_AMD2,22
HB018,B,CODEX_AMD2,23
HB065,C,CODEX_AMD2,24
HB052,A,CODEX_AMD2,25
HB027,A,CODEX_AMD2,26
HB053,C,CODEX_AMD2,27
HB020,B,CODEX_AMD2,28
HB076,B,CODEX_AMD2,29
HB059,A,CODEX_AMD2,30
HB033,A,CODEX_AMD2,31
HB089,B,CODEX_AMD2,32
HB080,B,CODEX_AMD2,33
HB042,C,CODEX_AMD2,34
HB067,B,CODEX_AMD2,35
HB087,B,CODEX_AMD2,36
HB032,A,CODEX_AMD2,37
HB017,B,CODEX_AMD2,38
HB058,C,CODEX_AMD2,39
HB029,C,CODEX_AMD2,40
HB006,A,CODEX_AMD2,41
HB034,C,CODEX_AMD2,42
HB021,B,CODEX_AMD2,43
HB040,A,CODEX_AMD2,44
HB091,A,CODEX_AMD2,45
HB011,A,CODEX_AMD2,46
HB060,B,CODEX_AMD2,47
HB077,C,CODEX_AMD2,48
HB084,A,CODEX_AMD2,49
HB016,A,CODEX_AMD2,50
HB009,B,CODEX_AMD2,51
HB063,B,CODEX_AMD2,52
HB086,C,CODEX_AMD2,53
HB079,C,CODEX_AMD2,54
HB056,A,CODEX_AMD2,55
HB003,B,CODEX_AMD2,56
HB002,C,CODEX_AMD2,57
HB055,B,CODEX_AMD2,58
HB015,B,CODEX_AMD2,59
HB095,B,CODEX_AMD2,60
HB035,B,CODEX_AMD2,61
HB096,A,CODEX_AMD2,62
HB023,B,CODEX_AMD2,63
HB046,C,CODEX_AMD2,64
HB036,B,CODEX_AMD2,65
HB050,A,CODEX_AMD2,66
HB064,B,CODEX_AMD2,67
HB045,B,CODEX_AMD2,68
HB051,C,CODEX_AMD2,69
HB012,B,CODEX_AMD2,70
HB048,A,CODEX_AMD2,71
HB088,A,CODEX_AMD2,72
HB039,B,CODEX_AMD2,73
HB093,B,CODEX_AMD2,74
HB019,C,CODEX_AMD2,75
HB022,A,CODEX_AMD2,76
HB094,C,CODEX_AMD2,77
HB066,A,CODEX_AMD2,78
HB028,A,CODEX_AMD2,79
HB041,C,CODEX_AMD2,80
HB061,B,CODEX_AMD2,81
HB068,A,CODEX_AMD2,82
HB049,C,CODEX_AMD2,83
HB054,B,CODEX_AMD2,84
HB070,B,CODEX_AMD2,85
HB037,B,CODEX_AMD2,86
HB031,B,CODEX_AMD2,87
HB090,B,CODEX_AMD2,88
HB073,C,CODEX_AMD2,89
HB069,B,CODEX_AMD2,90
HB008,B,CODEX_AMD2,91
HB078,A,CODEX_AMD2,92
HB026,C,CODEX_AMD2,93
HB005,B,CODEX_AMD2,94
HB057,B,CODEX_AMD2,95
HB010,B,CODEX_AMD2,96
HB085,A,CODEX_AMD2,97
HB074,B,CODEX_AMD2,98
