ordinal,CaseID
1,HB033
2,HB011
3,HB014
4,HB075
5,HB006
6,HB028
7,HB054
8,HB086
9,HB061
10,HB097
11,HB082
12,HB066
13,HB084
14,HB053
15,HB043
16,HB060
17,HB040
18,HB034
19,HB076
20,HB081
21,HB036
22,HB049
23,HB018
24,HB070
25,HB057
26,HB038
27,HB029
28,HB004
29,HB032
30,HB071
31,HB030
32,HB026
33,HB042
34,HB047
35,HB095
36,HB003
37,HB062
38,HB025
39,HB016
40,HB091
41,HB008
42,HB093
43,HB058
44,HB046
45,HB022
46,HB023
47,HB037
48,HB068
49,HB098
50,HB031
51,HB019
52,HB088
53,HB039
54,HB059
55,HB056
56,HB063
57,HB064
58,HB009
59,HB002
60,HB067
61,HB087
62,HB001
63,HB077
64,HB005
65,HB073
66,HB051
67,HB007
68,HB078
69,HB090
70,HB074
71,HB080
72,HB017
73,HB096
74,HB052
75,HB048
76,HB024
77,HB010
78,HB050
79,HB012
80,HB083
81,HB015
82,HB094
83,HB065
84,HB041
85,HB079
86,HB055
87,HB092
88,HB020
89,HB035
90,HB045
91,HB072
92,HB044
93,HB085
94,HB089
95,HB027
96,HB021
97,HB069
98,HB013
