ordinal,CaseID
1,HB063
2,HB081
3,HB028
4,HB025
5,HB004
6,HB059
7,HB083
8,HB074
9,HB044
10,HB066
11,HB035
12,HB013
13,HB009
14,HB092
15,HB051
16,HB024
17,HB072
18,HB018
19,HB036
20,HB027
21,HB094
22,HB093
23,HB037
24,HB050
25,HB098
26,HB026
27,HB056
28,HB012
29,HB058
30,HB003
31,HB084
32,HB001
33,HB065
34,HB095
35,HB069
36,HB048
37,HB038
38,HB068
39,HB010
40,HB075
41,HB002
42,HB060
43,HB090
44,HB079
45,HB030
46,HB029
47,HB008
48,HB070
49,HB017
50,HB086
51,HB073
52,HB055
53,HB054
54,HB014
55,HB082
56,HB033
57,HB041
58,HB046
59,HB016
60,HB021
61,HB071
62,HB031
63,HB062
64,HB077
65,HB076
66,HB032
67,HB053
68,HB091
69,HB057
70,HB023
71,HB049
72,HB045
73,HB096
74,HB080
75,HB061
76,HB006
77,HB087
78,HB043
79,HB007
80,HB015
81,HB097
82,HB078
83,HB064
84,HB052
85,HB040
86,HB042
87,HB005
88,HB020
89,HB047
90,HB089
91,HB088
92,HB019
93,HB011
94,HB034
95,HB022
96,HB085
97,HB039
98,HB067
